procedure,from_step,to_step
Draft negative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on the grounds that there is doubt as to whether they are intra vires,SCSI AD
Made affirmative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on the grounds that it makes unusual or unexpected use of the enabling power,SCSI AE
Draft affirmative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on the grounds that it makes unusual or unexpected use of the enabling power,SCSI AE
Made negative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on the grounds that it makes unusual or unexpected use of the enabling power,SCSI AE
Draft negative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on the grounds that it makes unusual or unexpected use of the enabling power,SCSI AE
Made affirmative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on the grounds that it fails to comply with proper legislative practice,SCSI AF
Draft affirmative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on the grounds that it fails to comply with proper legislative practice,SCSI AF
Made negative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on the grounds that it fails to comply with proper legislative practice,SCSI AF
Draft negative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on the grounds that it fails to comply with proper legislative practice,SCSI AF
Made affirmative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on other grounds,SCSI AG
Draft affirmative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on other grounds,SCSI AG
Made negative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on other grounds,SCSI AG
Draft negative,Select Committee on Statutory Instruments (SCSI) draws the special attention of the House to this instrument on other grounds,SCSI AG
Made affirmative,SCSI AB,SCSI AA
Draft affirmative,SCSI AB,SCSI AA
Made negative,SCSI AB,SCSI AA
Draft negative,SCSI AB,SCSI AA
Made affirmative,SCSI AC,SCSI AB
Draft affirmative,SCSI AC,SCSI AB
Made negative,SCSI AC,SCSI AB
Draft negative,SCSI AC,SCSI AB
Made affirmative,SCSI AD,SCSI AC
Draft affirmative,SCSI AD,SCSI AC
Made negative,SCSI AD,SCSI AC
Draft negative,SCSI AD,SCSI AC
Made affirmative,SCSI AE,SCSI AD
Draft affirmative,SCSI AE,SCSI AD
Made negative,SCSI AE,SCSI AD
Draft negative,SCSI AE,SCSI AD
Made affirmative,SCSI AF,SCSI AE
Draft affirmative,SCSI AF,SCSI AE
Made negative,SCSI AF,SCSI AE
Draft negative,SCSI AF,SCSI AE
Made affirmative,SCSI AG,SCSI AF
Draft affirmative,SCSI AG,SCSI AF
Made negative,SCSI AG,SCSI AF
Draft negative,SCSI AG,SCSI AF
UK Public Bills,Bill presented,CFR AA
UK Public Bills,Bill brought from the House of Lords,CFR AA
UK Public Bills,CFR AA,CFR AA
UK Public Bills,CFR AA,Bill to be printed and ordered to be a read second time
UK Public Bills,Bill to be printed and ordered to be a read second time,CFR AA
UK Public Bills,CFR AA,CFR AA
UK Public Bills,Motion for leave set down for consideration,CTM AA
UK Public Bills,CTM AA,CTM AA
UK Public Bills,CTM AA,Motion for leave to bring in a bill moved
UK Public Bills,Motion for leave to bring in a bill moved,CTM AA
UK Public Bills,CTM AA,CTM AA
UK Public Bills,Motion for leave to bring in a bill moved,CTM AB
UK Public Bills,CTM AB,Explanatory statement in support of motion for leave
UK Public Bills,Explanatory statement in support of motion for leave,CTM AB
UK Public Bills,CTM AB,CTM AB
UK Public Bills,Explanatory statement in support of motion for leave,CTM AC
UK Public Bills,CTM AC,CTM AB
UK Public Bills,CTM AB,Question on motion for leave put
UK Public Bills,Question on motion for leave put,CTM AC
UK Public Bills,CTM AC,CTM AC
UK Public Bills,Explanatory statement in support of motion for leave,CTM AD
UK Public Bills,Question on motion for leave put,CTM AD
UK Public Bills,CTM AD,CTM AD
UK Public Bills,CTM AD,CTM AE
UK Public Bills,CTM AE,CTM AC
UK Public Bills,CTM AC,Statement in opposition to motion for leave
UK Public Bills,Statement in opposition to motion for leave,CTM AE
UK Public Bills,CTM AE,CTM AE
UK Public Bills,Question on motion for leave put,CTM AA
UK Public Bills,CTM AA,CTM AF
UK Public Bills,CTM AF,CTM AA
UK Public Bills,CTM AA,CTM AD
UK Public Bills,CTM AA,CTM AE
UK Public Bills,CTM AD,Motion for leave opposed
UK Public Bills,CTM AE,Motion for leave agreed to
UK Public Bills,Motion for leave opposed,CTM AA
UK Public Bills,Motion for leave agreed to,CTM AA
UK Public Bills,CTM AA,CTM AA
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY BAT AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AA,Oral evidence session by the Business and Trade Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY BAT AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AA,TREATY BAT AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AB,Call for evidence opened by the Business and Trade Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Call for evidence opened by the Business and Trade Committee,TREATY BAT AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AA,TREATY BAT AA
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY BAT AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AB,TREATY BAT AC
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AC,Business and Trade Committee inquiry opened
Treaties subject to the Constitutional Reform and Governance Act 2010,Business and Trade Committee inquiry opened,TREATY BAT AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AB,TREATY BAT AB
Treaties subject to the Constitutional Reform and Governance Act 2010,Business and Trade Committee inquiry opened,TREATY BAT AC
Treaties subject to the Constitutional Reform and Governance Act 2010,Laid before the House of Commons,TREATY BAT AC
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AC,TREATY BAT AD
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AD,TREATY BAT AD
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AD,Considered by the Business and Trade Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Business and Trade Committee,TREATY BAT AC
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AC,TREATY BAT AD
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Business and Trade Committee,Government response to the decision made by the Business and Trade Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Business and Trade Committee,TREATY BAT AE
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AE,TREATY BAT AE
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AE,Business and Trade Committee recommended a general debate
Treaties subject to the Constitutional Reform and Governance Act 2010,Business and Trade Committee recommended a general debate,TREATY BAT AD
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AD,TREATY BAT AE
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Business and Trade Committee,TREATY BAT AF
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AF,TREATY BAT AF
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AF,Business and Trade Committee recommended that objection period A be extended
Treaties subject to the Constitutional Reform and Governance Act 2010,Business and Trade Committee recommended that objection period A be extended,TREATY BAT AE
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AE,TREATY BAT AF
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AG,Business and Trade Committee recommended the treaty should be ratified
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AH,Business and Trade Committee recommended that the treaty should not be ratified
Treaties subject to the Constitutional Reform and Governance Act 2010,Business and Trade Committee recommended a debate on a substantive motion take place during period A,TREATY BAT AI
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY BAT AI,TREATY BAT AG
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY EFRA AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AA,TREATY EFRA AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AA,"Environment, Food and Rural Affairs Committee inquiry opened"
Treaties subject to the Constitutional Reform and Governance Act 2010,"Environment, Food and Rural Affairs Committee inquiry opened",TREATY EFRA AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AA,TREATY EFRA AA
Treaties subject to the Constitutional Reform and Governance Act 2010,"Environment, Food and Rural Affairs Committee inquiry opened",TREATY EFRA AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AB,TREATY EFRA AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AB,"Considered by the Environment, Food and Rural Affairs Committee"
Treaties subject to the Constitutional Reform and Governance Act 2010,"Considered by the Environment, Food and Rural Affairs Committee",TREATY EFRA AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AB,TREATY EFRA AB
Treaties subject to the Constitutional Reform and Governance Act 2010,"Considered by the Environment, Food and Rural Affairs Committee","Government response to the decision made by the Environment, Food and Rural Affairs Committee"
Treaties subject to the Constitutional Reform and Governance Act 2010,"Considered by the Environment, Food and Rural Affairs Committee",TREATY EFRA AI
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AI,TREATY EFRA AE
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AE,"Environment, Food and Rural Affairs Committee made recommendations about how the treaty should be implemented"
Treaties subject to the Constitutional Reform and Governance Act 2010,"Environment, Food and Rural Affairs Committee made recommendations about how the treaty should be implemented",TREATY EFRA AI
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AI,TREATY EFRA AI
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY EFRA AG
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AG,"Oral evidence session by the Environment, Food and Rural Affairs Committee"
Treaties subject to the Constitutional Reform and Governance Act 2010,"Considered by the Environment, Food and Rural Affairs Committee",TREATY EFRA AK
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AK,TREATY EFRA AH
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AH,"Environment, Food and Rural Affairs Committee made recommendations about what lessons could be learnt for future treaties"
Treaties subject to the Constitutional Reform and Governance Act 2010,"Environment, Food and Rural Affairs Committee made recommendations about what lessons could be learnt for future treaties",TREATY EFRA AK
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AK,TREATY EFRA AK
Treaties subject to the Constitutional Reform and Governance Act 2010,"Government response to the decision made by the Environment, Food and Rural Affairs Committee",TREATY EFRA AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AL,TREATY EFRA AI
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AI,"Environment, Food and Rural Affairs Committee's reply to the government response to their report"
Treaties subject to the Constitutional Reform and Governance Act 2010,"Environment, Food and Rural Affairs Committee's reply to the government response to their report",TREATY EFRA AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY EFRA AL,TREATY EFRA AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY HAC AD,Considered by the Home Affairs Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Home Affairs Committee,TREATY HAC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY HAC AA,TREATY HAC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Home Affairs Committee,TREATY HAC AB
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY HAC AB,Home Affairs Committee recommended that a debate take place during period A
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Home Affairs Committee,TREATY HAC AC
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY HAC AC,Home Affairs Committee recommended that the House be able to record its view as to whether the treaty should be ratified
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Home Affairs Committee,Government response to the decision made by the Home Affairs Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AF,Government response to the decision made by the European Affairs Committee (EAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AG,Reported for information by the European Affairs Committee (EAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AH,Drawn to the special attention of the House by the European Affairs Committee (EAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY IAC+EAC AI
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AI,TREATY IAC+EAC AI
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AI,Call for evidence opened by the International Agreements Committee (IAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Call for evidence opened by the International Agreements Committee (IAC),TREATY IAC+EAC AI
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AI,TREATY IAC+EAC AI
Treaties subject to the Constitutional Reform and Governance Act 2010,CT BE,TREATY IAC+EAC AJ
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AJ,TREATY IAC+EAC AJ
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AJ,International Agreements Committee (IAC) inquiry opened
Treaties subject to the Constitutional Reform and Governance Act 2010,International Agreements Committee (IAC) inquiry opened,TREATY IAC+EAC AJ
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AJ,TREATY IAC+EAC AJ
Treaties subject to the Constitutional Reform and Governance Act 2010,Laid before the House of Lords,TREATY IAC+EAC AK
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AK,TREATY IAC+EAC AK
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AK,Call for evidence opened by the European Affairs Committee (EAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Call for evidence opened by the European Affairs Committee (EAC),TREATY IAC+EAC AK
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AK,TREATY IAC+EAC AK
Treaties subject to the Constitutional Reform and Governance Act 2010,Laid before the House of Lords,TREATY IAC+EAC AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AL,TREATY IAC+EAC AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AL,European Affairs Committee (EAC) inquiry opened
Treaties subject to the Constitutional Reform and Governance Act 2010,European Affairs Committee (EAC) inquiry opened,TREATY IAC+EAC AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AL,TREATY IAC+EAC AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AN,International Agreements Committee (IAC) called for a debate on the treaty
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AM,European Affairs Committee (EAC) called for a debate on the treaty
Treaties subject to the Constitutional Reform and Governance Act 2010,Laid before the House of Lords,TREATY IAC+EAC AS
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AS,Oral evidence session by the International Relations and Defence Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Laid before the House of Lords,TREATY IAC+EAC AO
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AO,TREATY IAC+EAC AT
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AT,International Relations and Defence Committee inquiry opened
Treaties subject to the Constitutional Reform and Governance Act 2010,International Relations and Defence Committee inquiry opened,TREATY IAC+EAC AO
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AO,TREATY IAC+EAC AO
Treaties subject to the Constitutional Reform and Governance Act 2010,Laid before the House of Lords,TREATY IAC+EAC AU
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY IAC+EAC AU,Correspondence published by the International Relations and Defence Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AF,TREATY ITC AF
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the International Trade Committee (ITC),TREATY ITC AH
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AH,TREATY ITC AD
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AD,International Trade Committee (ITC) recommended a general debate
Treaties subject to the Constitutional Reform and Governance Act 2010,International Trade Committee (ITC) recommended a general debate,TREATY ITC AH
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AH,TREATY ITC AH
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AE,International Trade Committee (ITC) recommended the treaty should be ratified
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AF,International Trade Committee (ITC) recommended the treaty should not be ratified
Treaties subject to the Constitutional Reform and Governance Act 2010,International Trade Committee (ITC) inquiry opened,TREATY ITC AA
Treaties subject to the Constitutional Reform and Governance Act 2010,International Trade Committee (ITC) inquiry opened,TREATY ITC AS
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AK,TREATY ITC AG
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AG,Preliminary report by the International Trade Committee (ITC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Preliminary report by the International Trade Committee (ITC),TREATY ITC AK
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AK,TREATY ITC AK
Treaties subject to the Constitutional Reform and Governance Act 2010,Preliminary report by the International Trade Committee (ITC),TREATY ITC AL
Treaties subject to the Constitutional Reform and Governance Act 2010,Preliminary report by the International Trade Committee (ITC),TREATY ITC AM
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AL,TREATY ITC AH
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AH,Preliminary report by the International Trade Committee (ITC) recommended that objection period A be extended
Treaties subject to the Constitutional Reform and Governance Act 2010,Preliminary report by the International Trade Committee (ITC) recommended that objection period A be extended,TREATY ITC AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AL,TREATY ITC AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AM,TREATY ITC AI
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AI,Preliminary report by the International Trade Committee (ITC) recommended that a debate be held during period A
Treaties subject to the Constitutional Reform and Governance Act 2010,Preliminary report by the International Trade Committee (ITC) recommended that a debate be held during period A,TREATY ITC AM
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AM,TREATY ITC AM
Treaties subject to the Constitutional Reform and Governance Act 2010,Preliminary report by the International Trade Committee (ITC) recommended that objection period A be extended,TREATY ITC AN
Treaties subject to the Constitutional Reform and Governance Act 2010,Preliminary report by the International Trade Committee (ITC) recommended that a debate be held during period A,TREATY ITC AN
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AN,TREATY ITC AO
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AO,TREATY ITC AJ
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AJ,"Preliminary report by the International Trade Committee (ITC) recommended that, should period A not be extended, there should be a debate on a substantive motion during period A"
Treaties subject to the Constitutional Reform and Governance Act 2010,"Preliminary report by the International Trade Committee (ITC) recommended that, should period A not be extended, there should be a debate on a substantive motion during period A",TREATY ITC AN
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AN,TREATY ITC AO
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the International Trade Committee (ITC),TREATY ITC AV
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AP,TREATY ITC AK
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AK,International Trade Committee (ITC) requested the recommended debate on a substantive motion take place during period A
Treaties subject to the Constitutional Reform and Governance Act 2010,International Trade Committee (ITC) requested the recommended debate on a substantive motion take place during period A,TREATY ITC AO
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AO,TREATY ITC AP
Treaties subject to the Constitutional Reform and Governance Act 2010,International Trade Committee (ITC) requested the recommended debate on a substantive motion take place during period A,TREATY ITC AQ
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AQ,TREATY ITC AL
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AL,International Trade Committee (ITC) recommended Members should vote against ratification in any debate on a substantive motion during period A
Treaties subject to the Constitutional Reform and Governance Act 2010,International Trade Committee (ITC) recommended Members should vote against ratification in any debate on a substantive motion during period A,TREATY ITC AP
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AP,TREATY ITC AQ
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AQ,TREATY ITC AR
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AT,TREATY ITC AG
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AS,TREATY ITC AK
Treaties subject to the Constitutional Reform and Governance Act 2010,Laid before the House of Commons,TREATY ITC AT
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the International Trade Committee (ITC),TREATY ITC AU
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AU,TREATY ITC AO
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AO,International Trade Committee (ITC) recommended a debate on a substantive motion take place during period A
Treaties subject to the Constitutional Reform and Governance Act 2010,International Trade Committee (ITC) recommended a debate on a substantive motion take place during period A,TREATY ITC AR
Treaties subject to the Constitutional Reform and Governance Act 2010,TREATY ITC AR,TREATY ITC AU
Treaties subject to the Constitutional Reform and Governance Act 2010,Laid before the House of Lords,Treaty Lords AI
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AI,Treaty Lords AJ
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AJ,Treaty Lords AA
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AA,Considered by the Secondary Legislation Scrutiny Committee (SLSC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Secondary Legislation Scrutiny Committee (SLSC),Treaty Lords AJ
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AI,Treaty Lords AI
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AJ,Treaty Lords AJ
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BI,Treaty Lords AB
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BJ,Treaty Lords AC
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BK,Treaty Lords AD
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BL,Treaty Lords AE
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BM,Treaty Lords AF
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BN,Treaty Lords AG
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BO,Treaty Lords AH
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BP,Treaty Lords AI
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AB,Allocated to the EU Select Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AC,Allocated to the EU Energy and Environment Sub-Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AD,Allocated to the EU External Affairs Sub-Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AE,Allocated to the EU Financial Affairs Sub-Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AF,Allocated to the EU Home Affairs Sub-Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AG,Allocated to the EU Internal Market Sub-Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AH,Allocated to the EU Justice Sub-Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AI,Allocated to the EU International Agreements Sub-Committee (IAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Select Committee,Treaty Lords AJ
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AJ,Information published by the EU Select Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Select Committee,Treaty Lords BI
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BI,Treaty Lords BI
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Select Committee,Treaty Lords BQ
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BQ,Treaty Lords AL
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AL,Call for evidence opened by the EU Select Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Call for evidence opened by the EU Select Committee,Treaty Lords BQ
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BQ,Treaty Lords BQ
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Select Committee,Treaty Lords AF
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU International Agreements Sub-Committee (IAC),Treaty Lords AK
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AK,Correspondence published by the EU International Agreements Sub-Committee (IAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU International Agreements Sub-Committee (IAC),Treaty Lords BR
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BR,Treaty Lords AM
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AM,Call for evidence opened by the EU International Agreements Sub-Committee (IAC)
Treaties subject to the Constitutional Reform and Governance Act 2010,Call for evidence opened by the EU International Agreements Sub-Committee (IAC),Treaty Lords BR
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BR,Treaty Lords BR
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU International Agreements Sub-Committee (IAC),Treaty Lords AG
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Energy and Environment Sub-Committee,Treaty Lords BJ
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BJ,Treaty Lords BJ
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU External Affairs Sub-Committee,Treaty Lords BK
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BK,Treaty Lords BK
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Financial Affairs Sub-Committee,Treaty Lords BL
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BL,Treaty Lords BL
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Home Affairs Sub-Committee,Treaty Lords BM
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BM,Treaty Lords BM
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Internal Market Sub-Committee,Treaty Lords BN
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BN,Treaty Lords BN
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU Justice Sub-Committee,Treaty Lords BO
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BO,Treaty Lords BO
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AQ,Drawn to the special attention of the House by the European Union Committee
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BP,Treaty Lords BP
Treaties subject to the Constitutional Reform and Governance Act 2010,Allocated to the EU International Agreements Sub-Committee (IAC),Treaty Lords BP
Treaties subject to the Constitutional Reform and Governance Act 2010,Considered by the Secondary Legislation Scrutiny Committee (SLSC),Treaty Lords BX
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords BX,Treaty Lords AA
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AB,Treaty Lords BS
Treaties subject to the Constitutional Reform and Governance Act 2010,Treaty Lords AB,Treaty Lords AI
