id,label,name,description,hassteptype,businessstepinhouse,businessstepinlegislature,memberof,actualisationnote,linknote,datenote,actualisedalongside,source,triplestoreid
1699,Regulatory Reform Committee (RRC) agreed the instrument should follow the super-affirmative procedure (House of Commons),Regulatory Reform Committee (RRC) agreed the instrument should follow the super-affirmative procedure,"The Regulatory Reform Committee examined all legislative reform orders between 2007 and May 2021 when the committee ceased to exist and its remit passed to the Business, Energy and Industrial Strategy Committee. It considered whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It had 30 days to do this. ",1,1,,4,"The Regulatory Reform Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. Note that since 2021, the Committee has been dissolved and its remit transferred to the Business, Energy and Industrial Strategy Committee",Html version of report ,"Date the committee met, not the date the report was published",1695,1506,4bSXCfeW
1708,"Business, Energy and Industrial Strategy Committee recommended the instrument should be upgraded to the super-affirmative procedure (House of Commons)","Business, Energy and Industrial Strategy Committee recommended the instrument should be upgraded to the super-affirmative procedure","The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. ",1,1,,"5, 4",The BEIS Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",1702,1622,FjoO9zNs
2350,"Environment, Food and Rural Affairs Committee made recommendations about how the treaty should be implemented (House of Commons)","Environment, Food and Rural Affairs Committee made recommendations about how the treaty should be implemented","The Environment, Food and Rural Affairs Committee can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010. ",1,1,,"5, 4",The EFRA Committee can recommend multiple actions for a treaty in their reports.  We made the decision in November 2022 to consult the committee clerk about what steps to actualise for a report so we can accurately reflect what the committee said. ,Html version of the report ,"Date the committee met, not the date they published. ",268,1251,Oaq1TMFL
1717,House resolved in favour of committee procedure recommendation (House of Commons),House resolved in favour of committee procedure recommendation,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the minister has recommended the appropriate level of scrutiny and can require a higher level. It has 30 days to do this. The Government, or member, can table a motion to disagree with the recommendation. If the House resolves in favour of the committee then the procedure is upgraded in line with their recommendation. ",1,1,,"4, 4",Following a debate there may be a question put to the House.,Votes and Proceedings anchor link,Date of decision,1715,1554,0p60PV76
1838,Non-fatal amendment to legislative consent motion withdrawn (Scottish Parliament),Non-fatal amendment to legislative consent motion withdrawn,,1,,2,,,,,,,2tTSmI82
1839,Non-fatal amendment to legislative consent motion not called (Scottish Parliament),Non-fatal amendment to legislative consent motion not called,,1,,2,,,,,,,OMqxQNAA
1840,Non-fatal amendment to legislative consent motion falls at dissolution (Scottish Parliament),Non-fatal amendment to legislative consent motion falls at dissolution,,1,,2,,,,,,,HZFsJyW1
1841,Non-fatal amendment to legislative consent motion not moved (Scottish Parliament),Non-fatal amendment to legislative consent motion not moved,,1,,2,,,,,,,i7fq3DYH
1842,Non-fatal amendment to legislative consent motion not selected by the Presiding Officer (Scottish Parliament),Non-fatal amendment to legislative consent motion not selected by the Presiding Officer,,1,,2,,,,,,,HdUmikMX
1843,Question put on non-fatal amendment to legislative consent motion (Scottish Parliament),Question put on non-fatal amendment to legislative consent motion,,1,,2,,,,,,,1bP1lJu1
1844,Non-fatal amendment to legislative consent motion agreed to (Scottish Parliament),Non-fatal amendment to legislative consent motion agreed to,,1,,2,,,,,,,wSd1bsnW
1845,Non-fatal amendment to legislative consent motion not agreed to (Scottish Parliament),Non-fatal amendment to legislative consent motion not agreed to,,1,,2,,,,,,,WqgMyIuD
1847,House of Commons agreed to the negative procedure (House of Commons),House of Commons agreed to the negative procedure,"The way legislative reform orders are scrutinised is not fixed. When ministers lay a draft legislative reform order, they propose what level of scrutiny it should face. For the House of Commons to agree to the affirmative procedure a committee can either agree with the Minister's recommendation or the House can resolve against a Committee's decision to upgrade to an affirmative procedure. ",1,1,,,Decision will be noted in a BEIS committee report which will appear on an adhoc basis.,No link,Date the BEIS report on their decision on procedure,,,ihGlXT11
1848,House of Commons agreed to the affirmative procedure (House of Commons),House of Commons agreed to the affirmative procedure,"The way legislative reform orders are scrutinised is not fixed. When ministers lay a draft legislative reform order, they propose what level of scrutiny it should face. For the House of Commons to agree to the affirmative procedure a committee can either agree with the Minister's recommendation, or the committee may decide the recommended negative procedure should be upgraded to the affirmative or the House can resolve against a Committee's decision to upgrade to a super-affirmative procedure. ",1,1,,,Decision will be noted in a BEIS committee report which will appear on an adhoc basis.,No link,Date the BEIS report on their decision on procedure,,,BZaVHd9v
2645,Non-fatal amendment to legislative consent motion not selected by the Speaker (Northern Ireland Assembly),Non-fatal amendment to legislative consent motion not selected by the Speaker,,1,,4,,,,,,,7h3tB10m
2646,Question put on nonfatal amendment to legislative consent motion (Northern Ireland Assembly),Question put on nonfatal amendment to legislative consent motion,,1,,4,,,,,,,ETjmhMeT
1851,House of Lords agreed to the affirmative procedure (House of Lords),House of Lords agreed to the affirmative procedure,"The way legislative reform orders are scrutinised is not fixed. When ministers lay a draft legislative reform order, they propose what level of scrutiny it should face. For the House of Lords to agree to the affirmative procedure the Delegated Powers and Regulatory Reform Committee can either agree with the Minister's recommendation, or the committee may upgrade a recommendation of a negative procedure to the affirmative, or the House can resolve against the committee's decision to upgrade to a super-affirmative procedure. ",1,2,,,Decision will be noted in a DPRRC report which will appear on an adhoc basis.,No link,Date the DPRRC report on their decision on procedure,,,hHqbVuDN
1852,House of Lords agreed to the super-affirmative procedure (House of Lords),House of Lords agreed to the super-affirmative procedure,"The way legislative reform orders are scrutinised is not fixed. When ministers lay a draft legislative reform order, they propose what level of scrutiny it should face. For the House of Lords to agree to the super-affirmative procedure the Delegated Powers and Regulatory Reform Committee can either agree with the Minister's recommendation or the committee may upgrade a recommendation of an affirmative procedure to the super-affirmative.",1,2,,,Decision will be noted in a DPRRC report which will appear on an adhoc basis.,No link,Date the DPRRC report on their decision on procedure,,,LENoiI7u
1853,Further information published by the Delegated Powers and Regulatory Reform Committee (DPRRC) (House of Lords),Further information published by the Delegated Powers and Regulatory Reform Committee (DPRRC),"The Delegated Powers and Regulatory Reform Committee can publish additional information once they've considered and made a decision on an instrument. The additional information tends, though is not limited, to be in the form of correspondence included in a later report.",1,2,,4,"It is possible that the DPRRC may publish further information (correspondence or oral evidence) after they have made a decision on an instrument, if this happens please check with Jane White before actualising this step. ",DPRRC anchor link,"Date of meeting, not publishing.",,1168,P40xr0Gv
1857,Oral evidence session by the International Trade Committee (ITC) (House of Commons),Oral evidence session by the International Trade Committee (ITC),The International Trade Committee has the power to invite Ministers and other experts to oral evidence sessions before or after they have considered a treaty. ,1,1,,4,The ITC have the power to invite Ministers to oral evidence sessions before or after they have considered a treaty.  The evidence session should appear in the Vote under the inquiry name or as an adhoc piece. ,HTML version should be used unless a pdf is only available,"Date of the session, not the date the transcript was published. ",,1167,Jkdejkq9
1880,Preliminary report by the International Trade Committee (ITC) (House of Commons),Preliminary report by the International Trade Committee (ITC),"The International Trade Committee (ITC) can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010 including, but not limited to, that the treaty should not be ratified, that a debate be scheduled or that the objection period should be extended. In some cases the International Trade Committee may report preliminary findings before the inquiry has completed or while they await further information. ",1,1,,4,Any Commons select committee can consider a treaty and make recommendations ,Select committee report html,"Date select committee met, not date of report publishing","1881, 1882, 1883",1166,mtqZORsF
1881,Preliminary report by the International Trade Committee (ITC) recommended that objection period A be extended (House of Commons),Preliminary report by the International Trade Committee (ITC) recommended that objection period A be extended,"The International Trade Committee (ITC) can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010 including, but not limited to, that the treaty should not be ratified, that a debate be scheduled or that the objection period should be extended. In some cases the International Trade Committee may report preliminary findings before the inquiry has completed or while they await further information. ",1,1,,"5, 4",,,,,,yQ8vSrEy
1882,Preliminary report by the International Trade Committee (ITC) recommended that a debate be held during period A (House of Commons),Preliminary report by the International Trade Committee (ITC) recommended that a debate be held during period A,"The International Trade Committee (ITC) can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010 including, but not limited to, that the treaty should not be ratified, that a debate be scheduled or that the objection period should be extended. In some cases the International Trade Committee may report preliminary findings before the inquiry has completed or while they await further information. ",1,1,,"5, 4",Any Commons select committee can consider a treaty and make recommendations ,Select committee report html,"Date select committee met, not date of report publishing",1880,1164,rNKXX83d
1883,"Preliminary report by the International Trade Committee (ITC) recommended that, should period A not be extended, there should be a debate on a substantive motion during period A (House of Commons)","Preliminary report by the International Trade Committee (ITC) recommended that, should period A not be extended, there should be a debate on a substantive motion during period A","The International Trade Committee (ITC) can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010 including, but not limited to, that the treaty should not be ratified, that a debate be scheduled or that the objection period should be extended. In some cases the International Trade Committee may report preliminary findings before the inquiry has completed or while they await further information. ",1,1,,"5, 4",Any Commons select committee can consider a treaty and make recommendations ,Select committee report html,"Date select committee met, not date of report publishing",1880,1163,qUdmzvbf
1884,International Trade Committee (ITC) requested the recommended debate on a substantive motion take place during period A (House of Commons),International Trade Committee (ITC) requested the recommended debate on a substantive motion take place during period A,"The International Trade Committee (ITC) can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010 including, but not limited to, that the treaty should not be ratified, that a debate be scheduled or that the objection period should be extended. ",1,1,,"5, 4",Any Commons select committee can consider a treaty and make recommendations ,Select committee report html,"Date select committee met, not date of report publishing",144,1162,7btASZYL
1885,International Trade Committee (ITC) recommended Members should vote against ratification in any debate on a substantive motion during period A (House of Commons),International Trade Committee (ITC) recommended Members should vote against ratification in any debate on a substantive motion during period A,"The International Trade Committee (ITC) can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010 including, but not limited to, that the treaty should not be ratified, that a debate be scheduled or that the objection period should be extended. ",1,1,,"5, 4",Any Commons select committee can consider a treaty and make recommendations ,Select committee report html,"Date select committee met, not date of report publishing",144,1161,QrtJfURg
1905,"Joint Committee on Human Rights (JCHR) recommended a draft remedial order be laid and the Government reconsider the drafting of the order (House of Commons, House of Lords)",Joint Committee on Human Rights (JCHR) recommended a draft remedial order be laid and the Government reconsider the drafting of the order,"Consideration completed by the Joint Committee on Human Rights (JCHR) within their terms of reference. The Committee can make several recommendations from whether the remedial order is appropriate, whether it should be changed or proceed in the same terms. The Committee also makes recommendations on whether the House(s) should approve the order.",1,"1, 2",,"5, 4",The JCHR meets on an adhoc basis so we should be keeping an eye on the Vote and Lords Minutes for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",247,1160,0A0VitLI
1906,Urgent question on the treaty (House of Commons),Urgent question on the treaty,"If an urgent or important matter arises which an MP believes requires an immediate answer from a government minister, they may apply to ask an urgent question.",1,1,,4,"This step is not part of the specific CRaG procedure for treaties, it was added to the procedure map to allow it to be shown on the treaty timeline for user information. Urgent questions can happen to a treaty before it is laid for CRaG purposes.  It is not usual practice to add such a step if it is not part of the procedure. What is part of a specific procedure and what is procedurally possible within the Chamber are not always mutually exclusive. ",Commons Hansard url,Date the question took place,,1576,3Y8U7b65
1908,Instrument created under the United Kingdom Internal Market Act 2020,Instrument created under the United Kingdom Internal Market Act 2020,Affirmative instruments laid under the United Kingdom Internal Market Act 2020 are subject to the Minister seeking legislative consent from the devolved authorities. ,1,,,"1, 4",Only actualised for affirmative instruments laid under the United Kingdom Internal Market Act 2020. It replaces the normal 'Instrument created' step. These SIs are identified by the existence of a written statement or in the explanatory memorandum. ,SI on leg.gov,Made date or laid date if draft,,1315,EyiJsTAM
1910,Written statement explaining why the Government decided to make the regulations without the consent of the devolved authorities (House of Commons),Written statement explaining why the Government decided to make the regulations without the consent of the devolved authorities,Affirmative instruments laid under section 10 of the United Kingdom Internal Market Act 2020 are subject to the Minister seeking legislative consent from the devolved authorities. If the Minister does not seek consent from one or more of the devolved authorities they must make a statement to Parliament explaining why consent was not sought.,1,1,,4,The written statement will appear on the day of laying. It will appear in the House of Commons and duplicated in the House of Lords. ,Parliament written statement url,Date of written statement ,,1157,ZC5UioMm
1911,Written statement explaining why the Government decided to make the regulations without the consent of the devolved authorities (House of Lords),Written statement explaining why the Government decided to make the regulations without the consent of the devolved authorities,Affirmative instruments laid under section 10 of the United Kingdom Internal Market Act 2020 are subject to the Minister seeking legislative consent from the devolved authorities. If the Minister does not seek consent from one or more of the devolved authorities they must make a statement to Parliament explaining why consent was not sought.,1,2,,4,The written statement will appear on the day of laying. It will appear in the House of Commons and duplicated in the House of Lords. ,Parliament written statement url,Date of written statement ,,1156,5hSqUmzu
1913,Government response to the decision by the Delegated Powers and Regulatory Reform Committee (DPRRC) (House of Lords),Government response to the decision by the Delegated Powers and Regulatory Reform Committee (DPRRC),"The Government has undertaken to respond to most Delegated Powers and Regulatory Reform Committee reports within two months, although there are exceptions to this rule and there is no obligation for the Government to respond. ",1,2,,4,"There is no requirement for Government to respond to a committee report but they still could. This will be published by the committee as correspondence, their government response webpage should be checked regularly. ",Html but pdf if no html is available,Date of correspondence ,,1546,q4ry5N9H
1914,No concerns raised by the Delegated Powers and Regulatory Reform Committee (DPRRC) (House of Lords),No concerns raised by the Delegated Powers and Regulatory Reform Committee (DPRRC),The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved.  If the committee is satisfied that the Order meets the tests set out in the 2006 Act then the order can proceed. ,1,2,,4,The DPRRC meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",1912,1489,WeAy5oNm
1915,Concerns raised by the Delegated Powers and Regulatory Reform Committee (DPRRC) (House of Lords),Concerns raised by the Delegated Powers and Regulatory Reform Committee (DPRRC),The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved.  The committee may be satisfied that the Order meets the tests set out in the 2006 Act but raised concerns in the line with their terms of reference. ,1,2,,"5, 4",The DPRRC meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",1912,1152,m3zrGiT5
1916,Delegated Powers and Regulatory Reform Committee (DPRRC) reported the instrument is not appropriate to be made (House of Lords),Delegated Powers and Regulatory Reform Committee (DPRRC) reported the instrument is not appropriate to be made,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved.  If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed unless the House resolves against the committee.,1,2,,"5, 4",,,,,,oyxJ7rUo
2902,Business and Trade Committee (BTC) recommended a general debate (House of Commons),Business and Trade Committee (BTC) recommended a general debate,"The Business and Trade Committee can make a number of recommendations to Parliament about a treaty subject to the Constitutional Reform and Governance Act 2010 including, but not limited to, that the treaty should not be ratified, that a debate be scheduled or that the objection period should be extended. ",1,1,,"5, 4",Any Commons select committee can consider a treaty and make recommendations ,Select committee report html,"Date select committee met, not date of report publishing",2901,1631,c4UUwJMr
1917,Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) tabled (House of Lords),Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) tabled,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved.  If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. ,1,2,,4,This is likely to be a Government motion so will appear on the Order paper. ,Link to the Order Paper entry,Date it first appeared - if unsure contact Lords Table Office. ,,1151,IpN4MQie
1918,Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) withdrawn (House of Lords),Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) withdrawn,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved.  If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. The motion can be withdrawn at any point between tabling and the question being put. ,1,2,,4,This may be in the Lords Motions Relating to Delegated Legislation section of Lords Business by way of omission when it previously existed. If a motion is withdrawn after debate then the Lords Minute will be the source. ,No link? Or link to Lords Minute if the motion was withdrawn after debate. ,Date withdrawn,,1150,sKemynGr
2647,Non-fatal amendment to legislative consent motion agreed to (Northern Ireland Assembly),Non-fatal amendment to legislative consent motion agreed to,,1,,4,,,,,,,qubVScUV
2648,Non-fatal amendment to legislative consent motion not agreed to (Northern Ireland Assembly),Non-fatal amendment to legislative consent motion not agreed to,,1,,4,,,,,,,ZtuGeWuS
1919,Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) lapsed at end of session (House of Lords),Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) lapsed at end of session,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved.  If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. All motions lapse at the end of the session if they are still on the table. ,1,2,,4,All motions lapse at the end of session. ,Lords Minute or if Parliament is dissolved then the proclamation that appears in the Gazette. ,Date the session ends,,,yilis54V
1920,Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) not moved (House of Lords),Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) not moved,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved.  If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. Members or Government can choose not to move a motion before or after debate.,1,2,,4,"Usually occurs at the end of a debate considering several motions in one, the first will be decided while the others, where necessary, not moved",Hansard anchor link,Date the motion was not moved,,1149,Af6P8Mvn
1921,Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) not called (House of Lords),Motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) not called,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved.  If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. A motion not having been called is when the motion is on the Order Paper for that day but did not occur. It may or may not be called on a future date.,1,2,,4,"A motion not being called will usually mean it is on the Order Paper to be debated or moved (either alone or en bloc with similar motions) but for whatever reason the motion has not been called at all. We notice it by its omission, a comparison of what is due to happen on the Order Paper and what did happen on the Lords Minutes. ",No link,Date the motion was due to be called in the House of Lords chamber,,,jZtxfYEY
1922,Debate on motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) (House of Lords),Debate on motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC),The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved. If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. Such a motion should be debated before the question is put. ,1,2,,"6, 4","Actualise this step when it is scheduled on the Parliamentary Calendar or Future Business so it appears in 'Scheduled upcoming stages' on the workpackage page. The link will need to be updated once the debate has taken place. If it's rescheduled, change the date. ",Lords Hansard URL,Date of debate,,1148,I7w8JC9z
1923,Question put on motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC) (House of Lords),Question put on motion to disagree with the decision made by the Delegated Powers and Regulatory Reform Committee (DPRRC),The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved. If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. ,1,2,,,Following a debate there may be a question put to the House.,Lords Minute ,Date of decision,"1924, 1925",1147,OY1XlYpn
4142,"Referred to the Culture, Communication, Welsh Language, Sport and International Relations Committee (Senedd Cymru)","Referred to the Culture, Communication, Welsh Language, Sport and International Relations Committee",,1,,3,,,,,,,oNGpFSF6
1924,House resolved against committee decision (House of Lords),House resolved against committee decision,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved. If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. If the House resolves against the committee decision then proceedings can continue on the order. ,1,2,,4,Following a debate there may be a question put to the House.,Lords Minute ,Date of decision,1923,1547,8Zr7rBRQ
1925,House resolved in favour of committee decision (House of Lords),House resolved in favour of committee decision,The Delegated Powers and Regulatory Reform Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved. If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. If the House resolves in favour of the committee decision then proceedings cannot continue and therefore the instrument cannot be made. ,1,2,,4,Following a debate there may be a question put to the House.,Lords Minute ,Date of decision,1923,1551,QZ9u50j1
2018,Considered by the Regulatory Reform Committee (RRC) (House of Commons),Considered by the Regulatory Reform Committee (RRC),"The  Regulatory Reform Committee examined all legislative reform orders between 2007 and May 2021 when the committee ceased to exist and its remit deferred to the Business, Energy and Industrial Strategy Committee. It considered whether the draft legislative reform order should be approved. ",1,1,,,"The Regulatory Reform Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. Note that since 2021, the Committee has been dissolved and its remit transferred to the Business, Energy and Industrial Strategy Committee",Html version of report ,"Date the committee met, not the date the report was published","2020, 2021, 2022",1144,SjW1x1tO
4031,Equality and Social Justice Committee  does not take position on the granting of consent (Senedd Cymru),Equality and Social Justice Committee  does not take position on the granting of consent,,1,,3,,,,,,,zU2RDOut
2019,Government response to the decision by the Regulatory Reform Committee (RRC) (House of Commons),Government response to the decision by the Regulatory Reform Committee (RRC),The Government are expected to reply to the recommendations in a select committee report within two months of publication.,1,1,,4,Government responses will either be published as a special report by the select committee itself or laid as a command paper. ,If a command paper link to the page on gov.uk. If a special report by the select committee link to the html version.,If a command paper use date of laying. If a special report by the select committee use date of the V&P. ,,,xSzyDTM5
2020,No concerns raised by the Regulatory Reform Committee (RRC) (House of Commons),No concerns raised by the Regulatory Reform Committee (RRC),"The Regulatory Reform Committee examined all legislative reform orders between 2007 and May 2021 when the committee ceased to exist and its remit passed to the Business, Energy and Industrial Strategy Committee. It considered whether the draft legislative reform order should be approved.  If the committee was satisfied that the Order met the tests set out in the 2006 Act then the order could proceed.",1,1,,4,"The Regulatory Reform Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. Note that since 2021, the Committee has been dissolved and its remit transferred to the Business, Energy and Industrial Strategy Committee",Html version of report ,"Date the committee met, not the date the report was published",2018,1143,IMTTTJ5W
2021,Concerns raised by the Regulatory Reform Committee (RRC) (House of Commons),Concerns raised by the Regulatory Reform Committee (RRC),"The Regulatory Reform Committee examined all legislative reform orders between 2007 and May 2021 when the committee ceased to exist and its remit passed to the Business, Energy and Industrial Strategy Committee. The committee may have been satisfied that the Order meets the tests set out in the 2006 Act but raised concerns in the line with their terms of reference.",1,1,,"5, 4","The Regulatory Reform Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. Note that since 2021, the Committee has been dissolved and its remit transferred to the Business, Energy and Industrial Strategy Committee",Html version of report ,"Date the committee met, not the date the report was published",2018,1142,XRQ4OFTx
2022,Regulatory Reform Committee (RRC) reported the instrument is not appropriate to be made (House of Commons),Regulatory Reform Committee (RRC) reported the instrument is not appropriate to be made,"The Regulatory Reform Committee examined all legislative reform orders between 2007 and May 2021 when the committee ceased to exist and its remit passed to the Business, Energy and Industrial Strategy Committee.  If the committee was not satisfied that the Order met the tests set out in the 2006 Act then the order could not proceed unless the House resolved against the committee.",1,1,,"5, 4","The Regulatory Reform Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. Note that since 2021, the Committee has been dissolved and its remit transferred to the Business, Energy and Industrial Strategy Committee",Html version of report ,"Date the committee met, not the date the report was published",2018,1621,m3oQv5TV
2024,"Government response to the decision by the Business, Energy and Industrial Strategy Committee (House of Commons)","Government response to the decision by the Business, Energy and Industrial Strategy Committee",The Government are expected to reply to the recommendations in a select committee report within two months of publication.,1,1,,4,Government responses will either be published as a special report by the select committee itself or laid as a command paper. ,If a command paper link to the page on gov.uk. If a special report by the select committee link to the html version.,If a command paper use date of laying. If a special report by the select committee use date of the V&P. ,,,y0A96a0b
2025,"No concerns raised by the Business, Energy and Industrial Strategy Committee (House of Commons)","No concerns raised by the Business, Energy and Industrial Strategy Committee","The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved. If the committee is satisfied that the Order meets the tests set out in the 2006 Act then the order can proceed.",1,1,,4,The BEIS Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",2023,1140,OCdRyIJ2
2026,"Concerns raised by the Business, Energy and Industrial Strategy Committee (House of Commons)","Concerns raised by the Business, Energy and Industrial Strategy Committee","The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved. The committee may be satisfied that the Order meets the tests set out in the 2006 Act but raised concerns in the line with their terms of reference.",1,1,,"5, 4",The BEIS Committee meets on an adhoc basis so we should be keeping an eye on the Vote for any reports. ,Html version of report ,"Date the committee met, not the date the report was published",2023,1139,uLdg9MKs
2385,Ministerial statement announcing a treaty has been signed (House of Lords),Ministerial statement announcing a treaty has been signed,A Minister can make a statement to the House in the form of an oral statement or written statement to inform the House that a treaty has been signed with a trading partner. ,1,2,,4,For such statements they can happen in the form of a written statement or a ministerial statement made in the Chamber. Statements are normally duplicated in the other House.,Written statement website link or Hansard if a spoken statement. ,Date of statement,,,gVLsTBW1
2030,Motion to disagree with the decision made by the Commons committee withdrawn (House of Commons),Motion to disagree with the decision made by the Commons committee withdrawn,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved. If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. The motion can be withdrawn at any point between tabling and the question being put.",1,1,,4,This may be in the Commons Future Business by way of omission when it previously existed. If a motion is withdrawn after debate then the Votes will be the source. ,No link? Or link to Vote if the motion was withdrawn after debate. ,Date withdrawn,,1136,0VLH3DIZ
2033,Motion to disagree with the decision made by the Commons committee not called (House of Commons),Motion to disagree with the decision made by the Commons committee not called,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved. If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision. A motion not having been called is when the motion is on the Order Paper for that day but did not occur. It may or may not be called on a future date.",1,1,,4,"A motion not being called will usually mean it is on the Order Paper to be debated or moved (either alone or en bloc with similar motions) but for whatever reason the motion has not been called at all. We notice it by its omission, a comparison of what is due to happen on the Order Paper and what did happen on the Votes & Proceedings. ",No link,Date the motion was due to be called in the House of Commons chamber,,,i6I0vrge
2034,Question put on motion to disagree with the decision made by the Commons committee (House of Commons),Question put on motion to disagree with the decision made by the Commons committee,"The Business, Energy and Industrial Strategy Committee examines all legislative reform orders. It considers whether the draft legislative reform order should be approved. If the committee is not satisfied that the Order meets the tests set out in the 2006 Act then the order cannot proceed. The Government or a member can table a motion to disagree with the committee's decision.",1,1,,,Following a debate there may be a question put to the House.,V&P anchor link,Date of question,"2035, 2036",1133,9YrJavBa
